ticker,year,name,shares,ffo,dividend,revenue,interest,ebitda,ebit,asset,equity,casti,debt
4338,2021-12-31,Alahli REIT,137500000,51440000,-48127000,95063000,-6957000,59272000,46960000,1936751000,1303077000,52207000,558728000
4338,2021-06-30,Alahli REIT,137500000,49930000,-44686000,88559000,-7100000,57753000,45440000,1956604000,1312940000,60006000,558217000
4338,2020-12-31,Alahli REIT,137500000,33920000,-17189000,78604000,-7388000,42298000,30058000,1903403000,1320470000,6478000,514995000
4338,2020-06-30,Alahli REIT,137500000,29690000,-44686000,63067000,-5285000,35523000,24847000,1905154000,1324555000,13069000,501629000
4338,2019-12-31,Alahli REIT,137500000,37910000,-44689000,81287000,-4467000,42883000,35440000,1694374000,1367621000,52439000,253050000
4338,2019-06-30,Alahli REIT,137500000,40850000,-44686000,70409000,0,41411000,30735000,1430547000,1383024000,58422000,0
4338,2018-12-31,Alahli REIT,137500000,39760000,-44688000,72733000,0,40321000,29636000,1450189000,1396971000,65449000,0
4338,2018-06-30,Alahli REIT,137500000,47470000,0,75599000,0,48085000,37412000,1464372000,1412135000,39006000,0
4339,2022-06-30,Derayah REIT,107507035,37760000,-38702533,62446858,-13716273,51633982,40157156,1688658256,898710972,35929193,747982834
4339,2021-12-31,Derayah REIT,107507035,23140000,-38702533,65203329,-10889015,34161323,21656748,1694723767,910107433,39788117,747982834
4339,2021-06-30,Derayah REIT,107507035,45990000,-41282701,65166617,-10902864,56934595,45134777,1711898422,930542875,38234568,747982834
4339,2020-12-31,Derayah REIT,107507035,39710000,-31600780,64884307,-11707443,51467644,38139446,1725483873,944532914,45773599,747982834
4339,2020-06-30,Derayah REIT,107507035,37400000,-40207635,56615519,-11915326,49380568,36971934,1573840605,968762780,12087262,589394968
4339,2019-12-31,Derayah REIT,107507035,43690000,-40207630,62056812,-13180936,57094616,44579390,1609358913,1001419491,34801270,579982834
4339,2019-06-30,Derayah REIT,107507035,37230000,-40207631,59681918,-14414729,51961566,39760770,1554557324,1046760053,8170150,474407144
4339,2018-12-31,Derayah REIT,107507035,28590000,-38917547,47240602,-10986486,23318176,14909045,1571748222,1061621643,28493315,510126579
4339,2018-06-30,Derayah REIT,107507035,27560000,-10997970,37271320,-1587038,27888979,21557765,1206200165,1085630145,40721880,96939375
4340,2022-06-30,Alrajhi REIT,161856857,63870000,-37926662,79718625,-12836955,77314894,62725473,2191441201,1267831121,100824027,896399599
4340,2021-12-31,Alrajhi REIT,161856857,34550000,-37866227,47701322,-9865884,40000690,25936690,2061500228,1245863350,66010112,791254599
4340,2021-06-30,Alrajhi REIT,161856857,45570000,-37926662,82582338,-10696433,56514721,41982721,2122446237,1307003347,55144057,791254598
4340,2020-12-31,Alrajhi REIT,161856857,50920000,-37926662,82800447,-11292712,62330061,47508061,2323594697,1511581047,64000997,791254599
4340,2020-06-30,Alrajhi REIT,161856857,54130000,-28444996,86055067,-14022274,69250033,54858033,2337998657,1526791307,81015246,791254018
4340,2019-12-31,Alrajhi REIT,161856857,34820000,-39104195,59643624,-10585736,45409734,35951734,2386201329,1578439127,125000,791253536
4340,2019-06-30,Alrajhi REIT,122200609,37920000,-37947139,56290842,-8788981,46708707,38231707,1724075691,1242510175,61810810,456913600
4340,2018-12-31,Alrajhi REIT,122200609,37270000,-21242149,54855504,-8167218,37523623,29275915,1740371858,1250411446,59396171,456913600
4340,2018-06-30,Alrajhi REIT,122200609,25870000,0,37244205,-5715787,25871682,20371590,1687901358,1242377680,37458039,399906600
4342,2022-06-30,Jadwa REIT,186509785,60380000,-74603914,93919712,-10451574,66722458,61439063,2440256726,1822084540,33306937,599597663
4342,2021-12-31,Jadwa REIT,186509785,53470000,-93220000,87338687,-8752419,75595006,55276739,2465685681,1851058639,62169492,599990035
4342,2021-06-30,Jadwa REIT,158000000,53440000,-30020000,63944409,-8020064,54168417,35057343,2186499842,1543448345,45490840,603122500
4342,2020-12-31,Jadwa REIT,158000000,57380000,-56880000,150434903,-2986105,140808550,121405149,2161627738,1576451066,32589126,573122500
4342,2020-06-30,Jadwa REIT,158000000,54910000,-58460000,66635539,-2628874,57538802,38302541,1655496014,1514912022,25439910,123122500
4342,2019-12-31,Jadwa REIT,158000000,58170000,-56880000,68180106,-1294729,59463089,40719095,1680989652,1537698355,29412753,127772500
4342,2019-06-30,Jadwa REIT,158000000,55350000,-56880000,65553782,-610727,55961290,37835854,1590688132,1555153989,16707008,27100000
4342,2018-12-31,Jadwa REIT,158000000,57740000,-63487266,76120596,0,67132212,45703387,1581783451,1574808862,20459428,0
4342,2018-06-30,Jadwa REIT,158000000,45570000,-15800000,52128577,0,45573191,27920820,1608421186,1592120820,19324091,0
4344,2022-06-30,SEDCO Capital REIT,117500000,42660000,-29988445,67106551,-12673571,55573794,41043691,1840988533,1026217715,27595363,798198565
4344,2021-12-31,SEDCO Capital REIT,117500000,19760000,-18900000,36747630,-6321618,26091704,17978648,1729541921,1039710604,62905856,619653131
4344,2021-06-30,SEDCO Capital REIT,60000000,22370000,-16650000,36162646,-6158675,28524625,20443043,1021342717,512723163,19406088,488580727
4344,2020-12-31,SEDCO Capital REIT,60000000,13760000,-16648133,30604729,-6907116,20664228,12710030,1048138641,537948379,20585698,489507441
4344,2020-06-30,SEDCO Capital REIT,60000000,17680000,-19048683,37503421,-11588573,29273658,21141424,1050450308,554151762,26114423,487859244
4344,2019-12-31,SEDCO Capital REIT,60000000,16790000,-19800000,39463276,-13176984,30373476,22322796,1068370786,561523849,34534020,484559255
4344,2019-06-30,SEDCO Capital REIT,60000000,17150000,-19050000,38590124,-13786670,31776690,23704962,1168227379,569102209,36814408,499080858
4344,2018-12-31,SEDCO Capital REIT,60000000,15910000,-18300000,26198452,-2342780,28622930,23724044,1178481829,578983917,111955644,498340886
